name,adress,phone,points in russian,points in computer science,points in mathematics,points in physics,social science,year of admission,major
Коровьев Сергей,"г. Курск, ул.Революции, д. 39",+7(925)-293-1754,84,78,86,81,56,2017,Физика
Розова Анастасия,"Орловская область, г.Дмитровск, ул.Новая, д. 57",+7(993)-490-3422,56,48,55,80,68,2022,Прикладная математика и информатика
Уварова Юлия,"г. Брянск, ул. Ленина, д. 11",+7(963)-737-9615,58,87,93,39,41,2017,Физика
Петров Владимир,"Брянская область, г.Фокино, ул.Октябрьская, д. 25",+7(900)-276-6462,81,67,55,87,97,2020,Математика
Сазонова Арина,"г.Орёлул.Октябрьская, д. 33",+7(919)-011-8052,55,71,92,82,70,2011,Педагогическое образование
Лозовский Олег,"г. Брянск, ул.Революции, д. 56",+7(968)-751-2529,79,90,81,58,92,2020,Педагогическое образование
Сазонова Алисия,"Брянская область, г.Фокино, ул.Революции, д. 23",+7(988)-547-2585,90,51,66,79,79,2019,Прикладная математика и информатика
Рябинина Аделина,"г. Брянск, ул.Гагарина, д. 33",+7(965)-330-7941,75,95,54,78,89,2016,Статистика
Ферзен Алиса,"Брянская область, г.Клинцы, ул. Ленина, д. 55",+7(920)-530-8375,54,77,47,77,92,2020,Прикладная информатика
Лозовский Владислав,"Орловская область, г.Ливны, ул.Октябрьская, д. 51",+7(996)-340-6723,58,48,49,45,47,2016,Статистика
Васильева Алиса,"Брянская область, г.Фокино, ул.Гагарина, д. 40К",+7(906)-119-4147,64,77,51,41,49,2011,Педагогическое образование
Ферзен Юлия,"Брянская область, г.Клинцы, ул.Новая, д. 18",+7(969)-994-5848,66,61,78,52,77,2016,Математика
Розова Алиса,"Брянская область, г.Жуковка, ул.Новая, д. 9",+7(964)-050-6324,84,80,74,74,42,2016,Математика
Мышкин Константин,"Брянская область, г.Дятьково, ул.Новая, д. 68",+7(984)-183-2068,51,85,48,64,43,2022,Физика
Орлова Алиса,"Брянская область, г.Жуковка, ул. Ленина, д. 14",+7(900)-116-8040,84,75,49,64,45,2013,Педагогическое образование
Платова Мария,"Орловская область, г.Мценск, ул.Революции, д. 54Р",+7(921)-516-8831,72,45,70,91,59,2012,Педагогическое образование
Ларина Алиса,"Брянская область, г.Клинцы, ул.Новая, д. 27",+7(991)-538-5615,49,50,43,42,52,2010,Прикладная информатика
Мышкин Роман,"Брянская область, г.Карачев, ул.Гагарина, д. 33",+7(993)-104-2249,93,76,98,70,77,2014,Прикладная информатика
Панина Аделина,"Орловская область, г.Болхов, ул.Гагарина, д. 55",+7(966)-700-5677,56,62,71,42,89,2022,Прикладная математика и информатика
Ларина Милена,"г. Брянск, ул.Гагарина, д. 37",+7(989)-347-1791,61,90,87,57,71,2019,Статистика
Мышкин Роман,"Брянская область, г.Дятьково, ул.Центральная, д. 58",+7(933)-779-5848,86,50,89,64,83,2019,Физика
Кочергин Иван,"Брянская область, г.Клинцы, ул.Революции, д. 64",+7(985)-290-5841,99,40,98,72,78,2011,Прикладная информатика
Уварова Алисия,"г.Орёлул.Октябрьская, д. 36В",+7(989)-232-3694,54,40,63,50,91,2012,Математика
Петров Николай,"Орловская область, г.Ливны, ул. Ленина, д. 24",+7(953)-970-1803,40,49,52,87,56,2022,Прикладная информатика
Зотова Алисия,"Брянская область, г.Жуковка, ул.Октябрьская, д. 2",+7(968)-233-4096,80,43,84,50,77,2012,Статистика
Ларина Алиса,"Брянская область, г.Клинцы, ул.Центральная, д. 50",+7(928)-629-5817,52,77,58,71,77,2022,Статистика
Картамышев Андрей,"Брянская область, г.Карачев, ул. Ленина, д. 40",+7(927)-369-5945,75,81,58,66,87,2015,Педагогическое образование
Ларина Милена,"Орловская область, г.Ливны, ул.Новая, д. 51",+7(931)-251-7455,97,96,62,86,61,2020,Прикладная математика и информатика
Коровьев Роман,"Брянская область, г.Жуковка, ул.Новая, д. 43",+7(961)-527-9692,42,98,59,78,61,2010,Прикладная математика и информатика
Чичиков Алексей,"Брянская область, г.Дятьково, ул. Ленина, д. 1",+7(934)-531-2867,42,86,62,87,61,2022,Статистика
Панина Диана,"г. Брянск, ул. Ленина, д. 15",+7(926)-056-3226,59,73,67,99,80,2015,Статистика
Салтыкова Аделина,"Орловская область, г.Дмитровск, ул. Ленина, д. 23",+7(977)-617-3280,57,41,65,44,59,2011,Физика
Ферзен Алисия,"Брянская область, г.Жуковка, ул.Новая, д. 60",+7(993)-268-3952,55,89,72,57,91,2022,Статистика
Ермолаев Федор,"Орловская область, г.Ливны, ул.Октябрьская, д. 9",+7(989)-264-2819,68,39,72,73,73,2010,Статистика
Николаев Владимир,"Брянская область, г.Фокино, ул.Революции, д. 2",+7(986)-608-5354,82,54,92,53,59,2010,Прикладная математика и информатика
Воронцова Милена,"Орловская область, г.Ливны, ул.Новая, д. 10",+7(950)-780-9778,84,91,71,60,60,2016,Прикладная математика и информатика
Кочергин Роман,"г. Курск, ул.Гагарина, д. 18",+7(908)-862-7331,48,39,96,92,92,2022,Прикладная математика и информатика
Коровьев Олег,"г. Курск, ул. Ленина, д. 45",+7(962)-019-7973,52,97,82,62,91,2016,Прикладная информатика
Мышкин Николай,"Орловская область, г.Мценск, ул.Новая, д. 9Ъ",+7(958)-362-2741,67,87,58,61,51,2014,Прикладная информатика
Чичиков Илья,"г. Брянск, ул.Октябрьская, д. 21Р",+7(929)-025-0001,98,43,98,93,75,2019,Прикладная информатика
Петров Роман,"Брянская область, г.Клинцы, ул.Центральная, д. 3",+7(968)-195-8299,64,70,39,97,93,2021,Прикладная математика и информатика
Ларина Алиса,"Орловская область, г.Мценск, ул.Революции, д. 54",+7(917)-984-3762,91,85,45,74,43,2012,Статистика
Панина Лилия,"Брянская область, г.Дятьково, ул.Октябрьская, д. 65",+7(968)-195-8299,67,80,67,82,49,2022,Педагогическое образование
Ферзен Милена,"Орловская область, г.Дмитровск, ул. Ленина, д. 33",+7(962)-966-6636,89,87,86,48,76,2016,Прикладная информатика
Зотова Алисия,"г. Брянск, ул.Центральная, д. 13",+7(920)-970-9735,94,80,42,92,65,2016,Прикладная информатика
Орлова Алиса,"Брянская область, г.Дятьково, ул.Гагарина, д. 33",+7(929)-334-9550,96,53,73,48,54,2019,Прикладная информатика
Панина Лина,"г. Курск, ул.Новая, д. 44",+7(991)-607-9015,97,46,76,67,48,2021,Прикладная математика и информатика
Уварова Анастасия,"г. Курск, ул. Ленина, д. 58",+7(961)-599-7421,75,86,82,68,74,2020,Статистика
Лозовский Сергей,"г.Орёлул.Октябрьская, д. 47",+7(916)-752-1589,90,94,77,57,57,2015,Статистика
Лозовский Алексей,"Брянская область, г.Дятьково, ул.Центральная, д. 19",+7(917)-779-6312,86,73,80,53,49,2014,Педагогическое образование
Рябинина Милена,"г. Брянск, ул.Новая, д. 9",+7(987)-851-8908,54,50,56,99,95,2014,Прикладная информатика
Мышкин Андрей,"Брянская область, г.Клинцы, ул.Центральная, д. 39",+7(968)-281-8929,59,84,94,58,46,2017,Статистика
Сергеев Владислав,"Брянская область, г.Фокино, ул.Гагарина, д. 14Б",+7(977)-818-2539,90,97,64,62,78,2020,Прикладная математика и информатика
Сергеев Иван,"г. Курск, ул.Гагарина, д. 15",+7(952)-326-0667,63,47,71,50,77,2011,Педагогическое образование
Чичиков Алексей,"Орловская область, г.Ливны, ул.Центральная, д. 65",+7(932)-657-9536,49,48,82,64,49,2012,Статистика
Орлова Лина,"Брянская область, г.Карачев, ул.Октябрьская, д. 33Ц",+7(932)-166-8404,56,52,40,91,51,2013,Статистика
Сидоров Илья,"Брянская область, г.Карачев, ул.Центральная, д. 35",+7(908)-827-2463,74,49,57,66,58,2019,Математика
Лозовский Илья,"Орловская область, г.Мценск, ул.Октябрьская, д. 5",+7(958)-098-2872,92,73,95,61,52,2010,Статистика
Ферзен Алиса,"Брянская область, г.Дятьково, ул.Гагарина, д. 65",+7(911)-090-2737,53,63,90,80,49,2015,Прикладная математика и информатика
Картамышев Владимир,"Орловская область, г.Ливны, ул.Революции, д. 26",+7(904)-631-4387,45,45,53,70,89,2010,Физика
Платова Юлия,"Брянская область, г.Карачев, ул.Гагарина, д. 60",+7(985)-660-6827,97,76,61,77,49,2019,Математика
Мышкин Сергей,"Орловская область, г.Мценск, ул.Центральная, д. 42",+7(913)-677-0828,66,98,78,86,83,2017,Статистика
Сидоров Юрий,"Брянская область, г.Фокино, ул.Гагарина, д. 58",+7(901)-476-7569,76,70,59,79,63,2016,Педагогическое образование
Лозовский Константин,"г. Курск, ул.Новая, д. 5",+7(992)-620-6788,65,79,85,77,56,2019,Статистика
Чичиков Илья,"Орловская область, г.Мценск, ул.Центральная, д. 13",+7(932)-714-1284,82,68,42,75,92,2020,Педагогическое образование
Мышкин Лев,"Орловская область, г.Мценск, ул.Октябрьская, д. 64",+7(969)-582-7799,90,52,81,62,72,2016,Педагогическое образование
Панина Милена,"Брянская область, г.Жуковка, ул.Октябрьская, д. 14",+7(915)-004-5099,83,51,43,86,93,2015,Педагогическое образование
Иванов Олег,"Орловская область, г.Мценск, ул.Центральная, д. 4",+7(980)-313-2696,52,58,53,87,86,2018,Физика
Сазонова Алиса,"г. Брянск, ул.Революции, д. 16Д",+7(952)-125-9728,89,65,60,88,92,2011,Прикладная математика и информатика
Ферзен Диана,"Брянская область, г.Фокино, ул.Новая, д. 26Х",+7(980)-382-7077,85,89,41,81,56,2018,Математика
Зотова Марина,"г. Брянск, ул. Ленина, д. 6",+7(919)-594-6665,85,97,68,57,45,2015,Статистика
Рябинина Лина,"г. Курск, ул.Гагарина, д. 67",+7(999)-223-1737,53,84,53,55,82,2010,Физика
Мышкин Николай,"Орловская область, г.Ливны, ул.Революции, д. 38",+7(933)-724-1956,53,85,62,46,46,2014,Прикладная математика и информатика
Платова Диана,"Брянская область, г.Карачев, ул.Центральная, д. 17",+7(914)-302-1620,69,59,42,70,75,2019,Педагогическое образование
Чичиков Илья,"Брянская область, г.Жуковка, ул.Октябрьская, д. 12",+7(980)-763-3858,59,87,58,67,43,2011,Математика
Латышев Олег,"Брянская область, г.Дятьково, ул.Революции, д. 0П",+7(914)-652-5132,93,96,71,80,92,2012,Прикладная информатика
Иванов Андрей,"г.Орёлул.Гагарина, д. 62",+7(919)-404-7148,96,84,40,87,43,2013,Прикладная информатика
Кочергин Лев,"Орловская область, г.Мценск, ул. Ленина, д. 28",+7(964)-021-3000,54,89,46,85,97,2013,Прикладная информатика
Сергеев Владимир,"Орловская область, г.Ливны, ул.Центральная, д. 34А",+7(989)-809-5490,49,81,70,45,57,2016,Прикладная информатика
Кочергин Алексей,"Брянская область, г.Фокино, ул.Революции, д. 0",+7(908)-985-0504,90,98,68,98,97,2012,Прикладная информатика
Зотова Юлия,"г.Орёлул.Октябрьская, д. 62",+7(989)-264-2819,85,56,79,77,66,2010,Статистика
Панина Алиса,"Брянская область, г.Дятьково, ул.Революции, д. 23",+7(988)-960-2413,63,41,69,54,84,2014,Математика
Кочергин Владислав,"Брянская область, г.Клинцы, ул. Ленина, д. 58",+7(900)-273-7208,96,68,82,74,98,2018,Статистика
Картамышев Николай,"Орловская область, г.Ливны, ул.Центральная, д. 50",+7(984)-725-1067,55,91,58,50,62,2019,Математика
Сидоров Николай,"г. Брянск, ул.Центральная, д. 64",+7(914)-127-7103,74,74,71,80,96,2022,Прикладная математика и информатика
Латышев Иван,"Брянская область, г.Дятьково, ул.Новая, д. 16",+7(980)-382-7077,70,65,88,77,80,2017,Физика
Салтыкова Юлия,"Брянская область, г.Жуковка, ул.Революции, д. 29",+7(909)-017-6669,53,99,46,89,88,2014,Прикладная информатика
Рябинина Анастасия,"Орловская область, г.Ливны, ул.Октябрьская, д. 54Б",+7(931)-121-1749,57,79,74,43,70,2010,Педагогическое образование
Панина Лилия,"Орловская область, г.Дмитровск, ул.Гагарина, д. 9",+7(903)-410-2543,85,79,95,75,40,2017,Прикладная математика и информатика
Зотова Милена,"г.Орёлул.Новая, д. 11",+7(933)-779-5848,50,71,41,97,86,2014,Прикладная информатика
Мышкин Андрей,"Орловская область, г.Дмитровск, ул.Революции, д. 9",+7(953)-385-8814,76,75,79,77,81,2015,Математика
Мышкин Владислав,"Брянская область, г.Карачев, ул. Ленина, д. 53",+7(953)-100-4687,89,48,96,91,48,2010,Прикладная математика и информатика
Сидоров Юрий,"Брянская область, г.Фокино, ул.Октябрьская, д. 22",+7(978)-823-7576,79,81,40,88,76,2014,Статистика
Кочергин Владимир,"Брянская область, г.Клинцы, ул. Ленина, д. 43",+7(960)-505-4880,51,60,55,61,95,2021,Прикладная математика и информатика
Чичиков Андрей,"г.Орёлул.Революции, д. 38",+7(909)-461-5489,78,92,52,90,54,2010,Прикладная математика и информатика
Картамышев Роман,"г. Курск, ул.Революции, д. 53",+7(983)-191-4162,85,61,88,45,57,2013,Педагогическое образование
Сергеев Сергей,"Орловская область, г.Мценск, ул.Гагарина, д. 61",+7(987)-948-9358,86,77,47,69,70,2013,Прикладная информатика
Мышкин Николай,"Брянская область, г.Фокино, ул.Гагарина, д. 58",+7(903)-724-0969,61,50,77,45,85,2015,Статистика
Зотова Милена,"Брянская область, г.Клинцы, ул.Гагарина, д. 21",+7(902)-265-5309,61,91,61,94,72,2014,Математика
Рябинина Милена,"Орловская область, г.Ливны, ул.Центральная, д. 39С",+7(901)-560-0386,97,64,71,77,64,2013,Физика
Воронцова Марина,"Брянская область, г.Карачев, ул. Ленина, д. 3",+7(925)-203-8747,54,45,85,75,62,2015,Статистика
Сергеев Константин,"г.Орёлул. Ленина, д. 58",+7(992)-694-1860,85,61,70,51,86,2013,Статистика
Мышкин Илья,"Брянская область, г.Жуковка, ул.Гагарина, д. 28",+7(908)-827-2463,66,97,85,68,61,2020,Статистика
Уварова Анастасия,"Брянская область, г.Дятьково, ул.Октябрьская, д. 63",+7(953)-321-4729,52,73,51,68,40,2020,Статистика
Иванов Юрий,"г.Орёлул.Центральная, д. 50",+7(929)-922-5747,52,49,86,42,96,2020,Педагогическое образование
Воронцова Милена,"г.Орёлул.Революции, д. 3",+7(937)-614-2511,45,71,67,59,87,2017,Математика
Сидоров Федор,"Брянская область, г.Фокино, ул.Октябрьская, д. 49",+7(903)-946-8011,99,45,55,77,49,2017,Статистика
Панина Алиса,"г. Курск, ул.Новая, д. 5",+7(981)-744-1804,60,65,96,90,73,2013,Прикладная информатика
Кочергин Лев,"Брянская область, г.Дятьково, ул.Гагарина, д. 40",+7(914)-378-9819,60,58,97,54,63,2012,Прикладная информатика
Коровьев Илья,"Брянская область, г.Дятьково, ул.Октябрьская, д. 61",+7(906)-670-0929,41,83,78,70,54,2019,Прикладная математика и информатика
Уварова Дина,"Орловская область, г.Ливны, ул.Гагарина, д. 51",+7(910)-254-3490,45,73,79,46,47,2019,Прикладная математика и информатика
Салтыкова Алиса,"Брянская область, г.Клинцы, ул.Революции, д. 15",+7(903)-104-1344,63,95,72,79,88,2016,Физика
Зотова Диана,"Орловская область, г.Ливны, ул.Гагарина, д. 45",+7(996)-370-3458,60,69,65,57,52,2016,Прикладная математика и информатика
Розова Лина,"Орловская область, г.Мценск, ул.Революции, д. 46",+7(966)-477-9218,84,57,76,76,39,2019,Математика
Ларина Алисия,"г. Курск, ул.Гагарина, д. 25",+7(912)-301-1648,97,40,96,89,43,2013,Педагогическое образование
Петров Владислав,"Орловская область, г.Ливны, ул.Новая, д. 38",+7(995)-839-7540,72,49,66,83,91,2020,Прикладная математика и информатика
Платова Дина,"г. Курск, ул.Революции, д. 24",+7(931)-251-7455,77,55,80,55,41,2018,Педагогическое образование
Панина Алисия,"Орловская область, г.Мценск, ул.Центральная, д. 54О",+7(911)-816-0306,68,77,40,81,50,2012,Физика
Ферзен Дина,"Орловская область, г.Болхов, ул.Новая, д. 6",+7(938)-290-0480,43,52,80,59,41,2017,Физика
Ферзен Анна,"г. Брянск, ул. Ленина, д. 38",+7(960)-634-7427,86,56,76,91,43,2020,Статистика
Орлова Юлия,"Брянская область, г.Карачев, ул.Гагарина, д. 30",+7(915)-004-5099,87,76,56,59,69,2013,Математика
Лозовский Алексей,"Орловская область, г.Мценск, ул.Центральная, д. 9Е",+7(978)-329-3048,56,87,52,95,68,2019,Педагогическое образование
Коровьев Николай,"Брянская область, г.Клинцы, ул.Новая, д. 1",+7(982)-571-9075,73,92,60,44,61,2021,Прикладная информатика
Сергеев Иван,"Брянская область, г.Дятьково, ул.Гагарина, д. 6",+7(937)-363-3700,60,95,95,90,44,2013,Статистика
Розова Арина,"Орловская область, г.Ливны, ул.Революции, д. 32",+7(994)-934-0211,84,83,51,80,66,2014,Педагогическое образование
Латышев Юрий,"г. Брянск, ул.Новая, д. 57",+7(994)-775-4392,70,77,70,48,89,2022,Прикладная информатика
Лозовский Алексей,"Орловская область, г.Дмитровск, ул. Ленина, д. 51",+7(927)-838-4241,52,68,61,78,76,2013,Прикладная математика и информатика
Петров Юрий,"Орловская область, г.Мценск, ул. Ленина, д. 39",+7(908)-985-0504,55,40,95,73,43,2020,Статистика
Ларина Лина,"Брянская область, г.Дятьково, ул.Центральная, д. 60",+7(989)-386-4486,70,41,61,88,57,2018,Математика
Зотова Аделина,"Брянская область, г.Фокино, ул.Революции, д. 26",+7(996)-069-4002,78,54,91,87,72,2015,Математика
Рябинина Милена,"г. Курск, ул. Ленина, д. 40",+7(927)-901-6432,58,61,48,87,98,2015,Физика
Розова Милена,"Орловская область, г.Дмитровск, ул.Новая, д. 30",+7(964)-012-1152,72,94,48,89,42,2020,Прикладная информатика
Иванов Иван,"Брянская область, г.Клинцы, ул.Гагарина, д. 49Н",+7(992)-093-6037,61,53,57,58,96,2021,Прикладная математика и информатика
Картамышев Николай,"Орловская область, г.Болхов, ул.Новая, д. 51",+7(934)-718-1818,87,54,45,65,52,2019,Физика
Чичиков Сергей,"Брянская область, г.Фокино, ул.Центральная, д. 17",+7(963)-188-7880,56,79,62,60,95,2015,Статистика
Панина Анна,"Брянская область, г.Клинцы, ул.Новая, д. 61",+7(901)-564-2804,56,84,56,79,89,2017,Математика
Латышев Илья,"г.Орёлул.Гагарина, д. 56",+7(977)-869-2872,55,69,53,41,71,2010,Прикладная математика и информатика
Воронцова Алисия,"Брянская область, г.Дятьково, ул.Центральная, д. 35",+7(919)-404-7148,68,94,79,93,84,2010,Прикладная математика и информатика
Чичиков Сергей,"Орловская область, г.Мценск, ул.Новая, д. 48",+7(992)-147-2007,81,86,63,73,54,2020,Математика
Чичиков Юрий,"г.Орёлул.Новая, д. 32",+7(925)-375-1029,82,89,68,65,86,2016,Педагогическое образование
Картамышев Юрий,"г. Курск, ул.Центральная, д. 41Л",+7(969)-548-1294,48,93,59,97,64,2021,Педагогическое образование
Воронцова Дина,"Орловская область, г.Мценск, ул.Октябрьская, д. 41",+7(918)-811-1450,88,89,97,82,66,2019,Физика
Ларина Дина,"г. Брянск, ул.Новая, д. 46",+7(932)-753-7448,83,60,51,52,64,2010,Математика
Ферзен Алисия,"г. Курск, ул.Центральная, д. 37",+7(977)-403-4811,92,80,51,67,88,2014,Педагогическое образование
Сазонова Лилия,"Брянская область, г.Фокино, ул.Революции, д. 51",+7(918)-266-5863,48,70,66,67,63,2012,Педагогическое образование
Ларина Юлия,"Орловская область, г.Мценск, ул.Революции, д. 17",+7(924)-837-6186,42,93,59,51,52,2019,Физика
Зотова Милена,"Брянская область, г.Карачев, ул.Центральная, д. 56",+7(953)-100-4687,43,79,74,97,51,2015,Педагогическое образование
Воронцова Анастасия,"Орловская область, г.Болхов, ул.Центральная, д. 49",+7(920)-565-0581,46,61,64,76,99,2021,Математика
Ларина Дина,"Брянская область, г.Карачев, ул.Центральная, д. 25Н",+7(982)-208-8384,70,77,59,90,96,2021,Прикладная информатика
Платова Аделина,"Орловская область, г.Мценск, ул.Центральная, д. 24",+7(984)-725-1067,47,92,57,98,77,2021,Статистика
Сазонова Алиса,"Орловская область, г.Ливны, ул.Новая, д. 4",+7(933)-861-4417,52,86,93,93,87,2017,Физика
Ларина Алиса,"Орловская область, г.Ливны, ул.Новая, д. 27",+7(913)-673-9443,62,68,74,44,80,2020,Прикладная математика и информатика
Воронцова Лина,"г.Орёлул.Революции, д. 21",+7(989)-115-2770,42,79,53,61,60,2019,Математика
Чичиков Лев,"Орловская область, г.Дмитровск, ул.Гагарина, д. 59",+7(984)-522-4736,41,48,97,48,66,2010,Математика
Сергеев Илья,"Брянская область, г.Дятьково, ул.Новая, д. 34",+7(993)-424-0534,95,60,42,82,45,2013,Прикладная информатика
Васильева Аделина,"Орловская область, г.Болхов, ул.Центральная, д. 58",+7(919)-368-3904,56,72,42,45,51,2022,Физика
Рябинина Диана,"Орловская область, г.Ливны, ул.Центральная, д. 23",+7(987)-309-9488,43,80,88,88,65,2022,Физика
Коровьев Владислав,"г. Брянск, ул.Новая, д. 0",+7(916)-752-1589,74,83,53,60,67,2020,Математика
